bt_mac_scanner;lat;lon;accuracy;provider;timestamp
f304bc8c57b76f635ae237e21abe84fa;55.6238114833832;12.531795501709;32;gps;2012-06-30 12:43:38
249ea829217efe21820483384a0e3478;59.2556722;10.9894476;25;network;2012-06-30 12:43:45
678ff3ba370f3a29aac4fb91b49d8ca1;57.7107919;11.9711657;25;network;2012-06-30 12:44:28
678ff3ba370f3a29aac4fb91b49d8ca1;56.9183313846588;12.5491386651993;6;gps_cached;2012-06-30 12:44:36
678ff3ba370f3a29aac4fb91b49d8ca1;56.9183313846588;12.5491386651993;6;gps;2012-06-30 12:44:36
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913648;11.5389869;22;network;2012-06-30 12:45:19
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89144881;11.53928222;14;gps;2012-06-30 12:45:24
a0a01441b945a253fd479ea531292bac;55.6447097;11.9618272;1702;network;2012-06-30 12:46:17
a0a01441b945a253fd479ea531292bac;55.63794199;11.96101154;76;gps;2012-06-30 12:47:01
ff1857a26104cf0a28145763e67facc3;55.7638093;12.4776323;20;network;2012-06-30 12:48:13
56ddb84680ea74a29047cda88c6e1e09;55.617244720459;12.0905179977417;6.12943744659424;gps;2012-06-30 12:49:47
9fb011524993c741c20ab05910eefc7f;55.6244742;12.0584546;1487;network;2012-06-30 12:50:57
9fb011524993c741c20ab05910eefc7f;55.61849058;12.06650254;20;gps;2012-06-30 12:50:59
56ddb84680ea74a29047cda88c6e1e09;55.6248598;12.0892752;1600;network;2012-06-30 12:51:10
ec061d9f8a97730da11d99ca381aa72f;63.28198025;14.7655539;3;gps;2012-06-30 12:51:45
a0a01441b945a253fd479ea531292bac;55.6447097;11.9618272;1702;network;2012-06-30 12:52:17
56ddb84680ea74a29047cda88c6e1e09;55.6248598;12.0892752;1600;network;2012-06-30 12:52:46
56ddb84680ea74a29047cda88c6e1e09;55.6171913146973;12.090539932251;5.74543333053589;gps;2012-06-30 12:52:51
f304bc8c57b76f635ae237e21abe84fa;55.6509922;12.3272402;999;network;2012-06-30 12:52:54
f304bc8c57b76f635ae237e21abe84fa;55.6622836;12.3081503;917;network;2012-06-30 12:53:13
f304bc8c57b76f635ae237e21abe84fa;55.6651014089584;12.2963726520538;32;gps;2012-06-30 12:53:37
f22c2220ce872848b254c87d1af5ba14;55.6840519;12.5233759;690;network;2012-06-30 12:54:57
f22c2220ce872848b254c87d1af5ba14;55.6813659891486;12.522598542273;5;gps;2012-06-30 12:54:58
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913661;11.5388853;26;network;2012-06-30 12:55:38
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89144124;11.53928415;13;gps;2012-06-30 12:55:44
249ea829217efe21820483384a0e3478;59.255672;10.9894474;24;network;2012-06-30 12:56:57
a0a01441b945a253fd479ea531292bac;55.6447097;11.9618272;1702;network;2012-06-30 12:58:17
678ff3ba370f3a29aac4fb91b49d8ca1;57.7107921;11.9711658;24;network;2012-06-30 13:00:37
678ff3ba370f3a29aac4fb91b49d8ca1;56.7560684680939;12.8474110364914;16;gps;2012-06-30 13:00:43
a0a01441b945a253fd479ea531292bac;55.63828581;11.96092793;117;gps;2012-06-30 13:01:18
9fb011524993c741c20ab05910eefc7f;55.6248693;12.0548358;1581;network;2012-06-30 13:01:54
9fb011524993c741c20ab05910eefc7f;55.61836753;12.06657557;17.0880069732666;gps;2012-06-30 13:01:57
a96e4ec19acb4697234b1d52d1e5263b;55.6191682499343;12.0677059191886;32;gps;2012-06-30 13:02:07
a96e4ec19acb4697234b1d52d1e5263b;55.6191682499343;12.0677059191886;32;gps_cached;2012-06-30 13:02:07
56ddb84680ea74a29047cda88c6e1e09;55.6248598;12.0892752;1600;network;2012-06-30 13:02:23
56ddb84680ea74a29047cda88c6e1e09;55.6171264648438;12.0905179977417;7.73692464828491;gps;2012-06-30 13:02:27
a96e4ec19acb4697234b1d52d1e5263b;55.700666;9.2052713;43;network;2012-06-30 13:02:45
f304bc8c57b76f635ae237e21abe84fa;55.6223737;12.0958778;1473;network;2012-06-30 13:03:01
f304bc8c57b76f635ae237e21abe84fa;55.6260559;12.0478541;1417;network;2012-06-30 13:03:19
f304bc8c57b76f635ae237e21abe84fa;55.6269872188568;12.0397764444351;16;gps;2012-06-30 13:03:39
a0a01441b945a253fd479ea531292bac;55.6447097;11.9618272;1702;network;2012-06-30 13:04:17
ec061d9f8a97730da11d99ca381aa72f;63.3044178;14.81107028;3;gps;2012-06-30 13:04:57
a0a01441b945a253fd479ea531292bac;55.63815854;11.96091205;89;gps;2012-06-30 13:06:58
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913634;11.5389006;28;network;2012-06-30 13:07:03
e42f04d4a6b0e9906dcda43d1ac8fda2;55.891489;11.53927192;27;gps;2012-06-30 13:07:08
f22c2220ce872848b254c87d1af5ba14;55.6652028;12.5162312;578;network;2012-06-30 13:08:12
f22c2220ce872848b254c87d1af5ba14;55.6623256998137;12.5167164579034;5;gps;2012-06-30 13:08:16
249ea829217efe21820483384a0e3478;59.255672;10.9894474;24;network;2012-06-30 13:10:09
a0a01441b945a253fd479ea531292bac;55.6447097;11.9618272;1702;network;2012-06-30 13:10:17
a0a01441b945a253fd479ea531292bac;55.63783433;11.96221317;64;gps;2012-06-30 13:11:28
56ddb84680ea74a29047cda88c6e1e09;55.616813659668;12.0905609130859;20.2071781158447;gps;2012-06-30 13:12:02
9fb011524993c741c20ab05910eefc7f;55.6248693;12.0548358;1581;network;2012-06-30 13:12:09
9fb011524993c741c20ab05910eefc7f;55.6184133;12.0665127;8.9442720413208;gps;2012-06-30 13:12:12
ff1857a26104cf0a28145763e67facc3;55.7638282;12.4776844;22;network;2012-06-30 13:13:04
dcbaf6bad18857ecf25b15eb13002e38;55.7763354;12.5224756;163;network_cached;2012-06-30 13:13:05
678ff3ba370f3a29aac4fb91b49d8ca1;57.7107923;11.9711657;25;network;2012-06-30 13:14:58
678ff3ba370f3a29aac4fb91b49d8ca1;56.6694170236588;12.8655588626862;6;gps;2012-06-30 13:15:05
ff1857a26104cf0a28145763e67facc3;55.7637681;12.4775471;20;network;2012-06-30 13:16:07
a0a01441b945a253fd479ea531292bac;55.6265294;11.9776022;1973;network;2012-06-30 13:16:17
6922773dad726249fea6280b7a9382e9;55.72138089;12.49876638;16;gps;2012-06-30 13:16:47
6922773dad726249fea6280b7a9382e9;55.72138089;12.49876638;16;gps_cached;2012-06-30 13:16:47
6922773dad726249fea6280b7a9382e9;55.7218239;12.498854;589;network;2012-06-30 13:16:48
3377dc36920a0ba455cd569c2059f043;55.6244742;12.0584545;1487;network;2012-06-30 13:17:27
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913661;11.5389079;27;network;2012-06-30 13:17:51
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89143073;11.53921053;9;gps;2012-06-30 13:17:56
ec061d9f8a97730da11d99ca381aa72f;63.31719452;14.83079341;5;gps;2012-06-30 13:18:14
654e258a3bc21028fd92af20c2a286fa;55.7085963;11.7440068;2113;network;2012-06-30 13:21:15
319c61560d9b9e3b119089d087bdba21;55.7085963;11.7440068;2113;network;2012-06-30 13:21:15
f22c2220ce872848b254c87d1af5ba14;55.6644287612289;12.2746336832643;10;gps;2012-06-30 13:21:23
9fb011524993c741c20ab05910eefc7f;55.6244742;12.0584546;1487;network;2012-06-30 13:22:14
a0a01441b945a253fd479ea531292bac;55.6265294;11.9776022;1973;network;2012-06-30 13:22:17
9fb011524993c741c20ab05910eefc7f;55.61837964;12.06664113;10;gps;2012-06-30 13:22:17
678ff3ba370f3a29aac4fb91b49d8ca1;57.7107923;11.9711678;25;network;2012-06-30 13:22:48
f22c2220ce872848b254c87d1af5ba14;55.6645698;12.246559;1084;network;2012-06-30 13:22:49
249ea829217efe21820483384a0e3478;59.2556354;10.9893798;24;network;2012-06-30 13:23:22
0efb1646259a14edc80047db6e03ec38;55.617265586795;12.0909187079511;32;gps;2012-06-30 13:23:46
0efb1646259a14edc80047db6e03ec38;56.5763201;9.0511787;36;network;2012-06-30 13:23:47
56ddb84680ea74a29047cda88c6e1e09;55.6170501708984;12.0909261703491;133.719863891602;gps;2012-06-30 13:25:39
ff1857a26104cf0a28145763e67facc3;55.7637863;12.4775172;20;network;2012-06-30 13:25:44
29d18c84b2375a3327e8dca78c0975ef;55.5937919;12.1800433;1274;network;2012-06-30 13:27:27
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913646;11.5390018;25;network;2012-06-30 13:27:41
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89140267;11.53927447;21;gps;2012-06-30 13:27:47
a0a01441b945a253fd479ea531292bac;55.6265294;11.9776022;1973;network;2012-06-30 13:28:17
6922773dad726249fea6280b7a9382e9;55.67805773;12.53451601;85;network;2012-06-30 13:30:35
6922773dad726249fea6280b7a9382e9;55.67756073;12.53650189;36;gps_cached;2012-06-30 13:30:48
6922773dad726249fea6280b7a9382e9;55.67756073;12.53650189;36;gps;2012-06-30 13:30:48
ec061d9f8a97730da11d99ca381aa72f;63.31708105;14.82418923;3;gps;2012-06-30 13:31:21
9fb011524993c741c20ab05910eefc7f;55.6248693;12.0548358;1581;network;2012-06-30 13:32:58
9fb011524993c741c20ab05910eefc7f;55.61844696;12.06652828;8.9442720413208;gps;2012-06-30 13:33:02
0efb1646259a14edc80047db6e03ec38;55.6173813500063;12.0907446145969;48;gps;2012-06-30 13:33:20
0efb1646259a14edc80047db6e03ec38;56.5763201;9.0511787;36;network;2012-06-30 13:33:21
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913648;11.5388407;30;network;2012-06-30 13:33:27
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89140408;11.53928211;24;gps;2012-06-30 13:33:33
a0a01441b945a253fd479ea531292bac;55.6415447;11.9460799;1784;network;2012-06-30 13:34:17
6690bce5dfdfc4cc1bd4ed75c653c143;55.6248693;12.0548358;1581;network;2012-06-30 13:34:29
a0a01441b945a253fd479ea531292bac;55.63833551;11.96108457;52;gps;2012-06-30 13:34:32
6690bce5dfdfc4cc1bd4ed75c653c143;55.6211226107553;12.0543014444411;5;gps;2012-06-30 13:34:34
ff1857a26104cf0a28145763e67facc3;55.7637933;12.4776527;20;network;2012-06-30 13:35:20
56ddb84680ea74a29047cda88c6e1e09;55.6172103881836;12.0904750823975;39.1434555053711;gps;2012-06-30 13:38:27
249ea829217efe21820483384a0e3478;59.2556405;10.9894006;25;network;2012-06-30 13:39:31
a0a01441b945a253fd479ea531292bac;55.6415447;11.9460799;1784;network;2012-06-30 13:40:17
a0a01441b945a253fd479ea531292bac;55.6385039;11.96050272;88;gps;2012-06-30 13:41:54
3377dc36920a0ba455cd569c2059f043;55.6245875;12.0623662;1258;network;2012-06-30 13:43:51
9fb011524993c741c20ab05910eefc7f;55.6244742;12.0584546;1487;network;2012-06-30 13:44:08
9fb011524993c741c20ab05910eefc7f;55.61837947;12.0666979;8.9442720413208;gps;2012-06-30 13:44:11
ec061d9f8a97730da11d99ca381aa72f;63.31701879;14.82433088;3;gps;2012-06-30 13:44:33
0310a07877058eca75a6f739d63b66df;55.6787661;12.5058399;30;network;2012-06-30 13:44:52
0310a07877058eca75a6f739d63b66df;55.6791422283277;12.5057947542518;5;gps;2012-06-30 13:45:29
a0a01441b945a253fd479ea531292bac;55.6415447;11.9460799;1784;network;2012-06-30 13:46:17
ff1857a26104cf0a28145763e67facc3;55.7637812;12.4775754;20;network;2012-06-30 13:46:23
0efb1646259a14edc80047db6e03ec38;56.5763198;9.0511791;37;network;2012-06-30 13:46:33
0efb1646259a14edc80047db6e03ec38;55.6172250928138;12.0909958303339;16;gps;2012-06-30 13:46:35
e42f04d4a6b0e9906dcda43d1ac8fda2;55.8913644;11.5388667;27;network;2012-06-30 13:46:39
e42f04d4a6b0e9906dcda43d1ac8fda2;55.89149929;11.53929028;9;gps;2012-06-30 13:46:43
a0a01441b945a253fd479ea531292bac;55.63897052;11.95997132;58;gps;2012-06-30 13:46:55
