bt_mac_scanner;bt_mac_discovered;timestamp;discoveryTime 
6922773dad726249fea6280b7a9382e9;e205807cc8fd7432369f8da316e0bd21;"2012-07-05 11:22:43";29 
a0a01441b945a253fd479ea531292bac;a0725522078c9357f8fcb7493ced61d7;"2012-07-05 11:25:18";29 
9fb011524993c741c20ab05910eefc7f;d78cb3d94282154e74347ea1c16d6eb4;"2012-07-05 11:26:39";20 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 11:28:15";34 
f9b58c8ef39ad0da343027df388d58c2;2d19ab99a74ebb2d49fed7c4b8995df7;"2012-07-05 11:28:15";34 
5488e17db9e015b67c541653c5adbf1d;981330bbb5afb598fd326cc90848eef6;"2012-07-05 11:29:17";22 
3af792901928260d69a2d5a284a8ee23;e12c12e5d78b6252211ba338e8c4f250;"2012-07-05 11:30:07";34 
a0a01441b945a253fd479ea531292bac;60ecf9d68a3a57ba05a0f7f049291ccd;"2012-07-05 11:33:51";29 
ff1857a26104cf0a28145763e67facc3;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 11:34:12";20 
ff1857a26104cf0a28145763e67facc3;eef967ce85714cdf89dbd08214dce334;"2012-07-05 11:34:12";20 
ff1857a26104cf0a28145763e67facc3;6ef8491f053cdc04802b35583254e237;"2012-07-05 11:34:12";20 
56ef50fb31bbada0d8e2fc5b452eced6;aeb9d74e1e2b29b8d1db1e3c4a4f8a01;"2012-07-05 11:34:49";20 
9ce7691e2eff76355c8545f43ca64ece;078bb8b694647a1b5791bfb7d60ab4ae;"2012-07-05 11:35:02";26 
9fb011524993c741c20ab05910eefc7f;1ba58cb0a641a141b1ba3151c70bcb83;"2012-07-05 11:37:27";21 
9fb011524993c741c20ab05910eefc7f;1ab86af5350b43a1f9dcd4f367624051;"2012-07-05 11:37:27";21 
3af792901928260d69a2d5a284a8ee23;21ea92891cf6385f982d656b35488c60;"2012-07-05 11:38:44";39 
3af792901928260d69a2d5a284a8ee23;402578ef84e9223d00ef2a4fc167fe87;"2012-07-05 11:38:44";39 
938b4a1742b8f37eed1428f3003f4f71;cdf432b467021b1b2f5bbe98925c40a9;"2012-07-05 11:39:31";40 
f9b58c8ef39ad0da343027df388d58c2;6c3e226b4d4795d518ab341b0824ec29;"2012-07-05 11:40:34";55 
f9b58c8ef39ad0da343027df388d58c2;2d19ab99a74ebb2d49fed7c4b8995df7;"2012-07-05 11:40:34";55 
5488e17db9e015b67c541653c5adbf1d;434bf5bab7212b1d4e9fcd44ecdc0560;"2012-07-05 11:40:51";21 
5488e17db9e015b67c541653c5adbf1d;6739ca3727082f7146761f7ced3438d8;"2012-07-05 11:40:51";21 
